prompt,context,expected_output
"Can you quote me for a apartment block in Bicton including Single Storey Window Clean, 2 Storey Exterior House Wash","{'job_type': 'Window Clean, Exterior House Wash', 'location': 'Bicton', 'building_type': 'apartment block'}","{'items': [{'label': 'Single Storey Window Clean', 'price': 120}, {'label': '2 Storey Exterior House Wash', 'price': 330}], 'total': 450}"
"Can you quote me for a apartment block in Mount Pleasant including Single Storey Window Clean, 20 Panels Solar Panel Clean","{'job_type': 'Window Clean, Solar Panel Clean', 'location': 'Mount Pleasant', 'building_type': 'apartment block'}","{'items': [{'label': 'Single Storey Window Clean', 'price': 120}, {'label': '20 Panels Solar Panel Clean', 'price': 150}], 'total': 270}"
"Can you quote me for a apartment block in Applecross including Standard Gutter Clean, 2 Storey Exterior House Wash, Full House Pressure Wash","{'job_type': 'Exterior House Wash, Gutter Clean, Pressure Wash', 'location': 'Applecross', 'building_type': 'apartment block'}","{'items': [{'label': 'Standard Gutter Clean', 'price': 90}, {'label': '2 Storey Exterior House Wash', 'price': 330}, {'label': 'Full House Pressure Wash', 'price': 330}], 'total': 750}"
Can you quote me for a single-storey house in Melville including Tiled Roof Roof Clean,"{'job_type': 'Roof Clean', 'location': 'Melville', 'building_type': 'single-storey house'}","{'items': [{'label': 'Tiled Roof Roof Clean', 'price': 400}], 'total': 400}"
Can you quote me for a two-storey house in Applecross including Tiled Roof Roof Clean,"{'job_type': 'Roof Clean', 'location': 'Applecross', 'building_type': 'two-storey house'}","{'items': [{'label': 'Tiled Roof Roof Clean', 'price': 400}], 'total': 400}"
"Can you quote me for a townhouse in Mount Pleasant including Standard Gutter Clean, Full House Pressure Wash","{'job_type': 'Gutter Clean, Pressure Wash', 'location': 'Mount Pleasant', 'building_type': 'townhouse'}","{'items': [{'label': 'Standard Gutter Clean', 'price': 90}, {'label': 'Full House Pressure Wash', 'price': 330}], 'total': 420}"
"Can you quote me for a townhouse in Bicton including Tiled Roof Roof Clean, Double Storey Window Clean, 20 Panels Solar Panel Clean","{'job_type': 'Window Clean, Roof Clean, Solar Panel Clean', 'location': 'Bicton', 'building_type': 'townhouse'}","{'items': [{'label': 'Tiled Roof Roof Clean', 'price': 400}, {'label': 'Double Storey Window Clean', 'price': 180}, {'label': '20 Panels Solar Panel Clean', 'price': 150}], 'total': 730}"
"Can you quote me for a townhouse in Mount Pleasant including Double Storey Window Clean, Full House Pressure Wash, 2 Storey Exterior House Wash","{'job_type': 'Window Clean, Exterior House Wash, Pressure Wash', 'location': 'Mount Pleasant', 'building_type': 'townhouse'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}, {'label': 'Full House Pressure Wash', 'price': 330}, {'label': '2 Storey Exterior House Wash', 'price': 330}], 'total': 840}"
Can you quote me for a townhouse in Applecross including Double Storey Window Clean,"{'job_type': 'Window Clean', 'location': 'Applecross', 'building_type': 'townhouse'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}], 'total': 180}"
"Can you quote me for a single-storey house in Melville including Full House Pressure Wash, 20 Panels Solar Panel Clean, Standard Gutter Clean","{'job_type': 'Solar Panel Clean, Gutter Clean, Pressure Wash', 'location': 'Melville', 'building_type': 'single-storey house'}","{'items': [{'label': 'Full House Pressure Wash', 'price': 330}, {'label': '20 Panels Solar Panel Clean', 'price': 150}, {'label': 'Standard Gutter Clean', 'price': 90}], 'total': 570}"
